"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 26 18:49:20 UTC 2024","Fri Jan 26 18:51:17 UTC 2024","116572","","""Vehicles"" section","","","","should check out ""Vehicles"" section on the main page",""
"passed","Fri Jan 26 18:49:21 UTC 2024","Fri Jan 26 18:50:15 UTC 2024","54672","","Search input","","","","should verify search feature",""
"passed","Fri Jan 26 18:49:21 UTC 2024","Fri Jan 26 18:49:29 UTC 2024","8015","","Footer elements","","","","should verify footer elements",""
"passed","Fri Jan 26 18:49:19 UTC 2024","Fri Jan 26 18:51:22 UTC 2024","122767","","Catalog feature","","","","should verify catalog feature",""
"passed","Fri Jan 26 18:49:20 UTC 2024","Fri Jan 26 18:51:21 UTC 2024","120516","","""Services"" section","","","","should check out ""Services"" section on the main page",""
"passed","Fri Jan 26 18:49:19 UTC 2024","Fri Jan 26 18:49:27 UTC 2024","8089","","Feedback section","","","","should verify feedback section",""
